id,set_code,set_name,card_number,name,type,hp,rarity,abilities,attacks,weakness,retreat_cost,image_url,card_url,evolution_stage,evolves_from,evolves_to,evolution_type,base_pokemon_id,is_evolution,evolution_method
6d59f5aa-994d-4916-8c42-11e3b8a7ad35,B3a,Paradox Drive B3a,1,Surskit,Grass,60,◊,,C Ram: 10,Fire,1,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/B3a/B3a_001_EN_SM.webp,https://pocket.limitlesstcg.com/cards/B3a/1,Basic,,,Regular,,false,
63bd1bc8-45d6-4dbd-8150-efc81b6a23ff,B3a,Paradox Drive B3a,2,Masquerain,Grass,90,◊,,CC Air Slash: 70 - Discard a random Energy from this Pokémon.,Fire,1,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/B3a/B3a_002_EN_SM.webp,https://pocket.limitlesstcg.com/cards/B3a/2,Basic,,,Regular,,false,
11e460cd-029b-463b-b96e-c879f418f866,B3a,Paradox Drive B3a,3,Brute Bonnet,Grass,100,◊,,"GC Spirited Smack: 90 - Flip a coin. If tails, this attack does nothing.",Fire,2,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/B3a/B3a_003_EN_SM.webp,https://pocket.limitlesstcg.com/cards/B3a/3,Basic,,,Regular,,false,
8e779f40-351b-4149-9112-4ec7c40fdcf9,B3a,Paradox Drive B3a,4,Slither Wing,Grass,120,◊◊,,GGC Wildly Writhe: 120 - This Pokémon also does 60 damage to itself.,Fire,2,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/B3a/B3a_004_EN_SM.webp,https://pocket.limitlesstcg.com/cards/B3a/4,Basic,,,Regular,,false,
c6f19c57-ee2a-4245-a90e-de77e027a818,B3a,Paradox Drive B3a,5,Iron Moth,Fire,90,◊◊,,"RC Thermal Gust 10+: - Flip 3 coins. If 1 of them is heads, this attack does 20 more damage. If 2 of them are heads, this attack does 50 more damage. If all of them are heads, this attack does 120 more damage.",Water,1,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/B3a/B3a_005_EN_SM.webp,https://pocket.limitlesstcg.com/cards/B3a/5,Basic,,,Regular,,false,
5d31e250-4e8c-48d2-bdd4-38535a1351c3,B3a,Paradox Drive B3a,6,Psyduck,Water,70,◊,,C Ram: 10,Lightning,1,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/B3a/B3a_006_EN_SM.webp,https://pocket.limitlesstcg.com/cards/B3a/6,Basic,,,Regular,,false,
253d96eb-6db6-46ff-bd8e-20f4493d7ca0,B3a,Paradox Drive B3a,7,Golduck,Water,90,◊,,C Psychic 20+: - This attack does 20 more damage for each Energy attached to your opponent's Active Pokémon.,Lightning,1,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/B3a/B3a_007_EN_SM.webp,https://pocket.limitlesstcg.com/cards/B3a/7,Basic,,,Regular,,false,
4cb7cdb4-87dc-4863-a3ba-99664e1f2a99,B3a,Paradox Drive B3a,8,Vaporeon,Water,120,◊◊,,"WW Impound: 60 - During your opponent's next turn, the Defending Pokémon can't retreat.",Lightning,2,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/B3a/B3a_008_EN_SM.webp,https://pocket.limitlesstcg.com/cards/B3a/8,Basic,,,Regular,,false,
759a7942-f855-4c4d-8934-4e9cded58973,B3a,Paradox Drive B3a,9,Buizel,Water,70,◊,,WW Surf: 40,Lightning,1,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/B3a/B3a_009_EN_SM.webp,https://pocket.limitlesstcg.com/cards/B3a/9,Basic,,,Regular,,false,
1affcfbf-b2f1-415e-9385-aed38c432da3,B3a,Paradox Drive B3a,10,Floatzel,Water,100,◊,,WWW Waterfall: 90,Lightning,1,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/B3a/B3a_010_EN_SM.webp,https://pocket.limitlesstcg.com/cards/B3a/10,Basic,,,Regular,,false,
d38ecd6c-1852-41a2-8484-27e00286b1b5,B3a,Paradox Drive B3a,11,Snom,Water,50,◊,,W Gnaw: 20,Metal,1,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/B3a/B3a_011_EN_SM.webp,https://pocket.limitlesstcg.com/cards/B3a/11,Basic,,,Regular,,false,
f1cb9516-111d-4394-b4a5-ffcf46832228,B3a,Paradox Drive B3a,12,Frosmoth,Water,100,◊,,WC Aurora Beam: 60,Metal,1,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/B3a/B3a_012_EN_SM.webp,https://pocket.limitlesstcg.com/cards/B3a/12,Basic,,,Regular,,false,
44fd4f95-df74-4448-a2b3-f8ac2513d939,B3a,Paradox Drive B3a,13,Iron Bundle ex,Water,130,◊◊◊◊,,"WWC Cold Start 60+: - If this is the first time this Pokémon has used an attack after coming into play, this attack does 20 more damage, and your opponent's Active Pokémon is now Paralyzed.",Lightning,1,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/B3a/B3a_013_EN_SM.webp,https://pocket.limitlesstcg.com/cards/B3a/13,Basic,,,Regular,,false,
1c922e42-d0d9-4a64-9114-69869f1e0b00,B3a,Paradox Drive B3a,14,Pawmi,Lightning,50,◊,,L Bite: 30,Fighting,1,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/B3a/B3a_014_EN_SM.webp,https://pocket.limitlesstcg.com/cards/B3a/14,Basic,,,Regular,,false,
e34aafb1-070c-4a6c-8df7-d79fcbea086b,B3a,Paradox Drive B3a,15,Pawmo,Lightning,80,◊,,L Spark: 20 - This attack also does 10 damage to 1 of your opponent's Benched Pokémon.,Fighting,1,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/B3a/B3a_015_EN_SM.webp,https://pocket.limitlesstcg.com/cards/B3a/15,Basic,,,Regular,,false,
fca95456-701e-4d3d-a907-65d0d01cca0a,B3a,Paradox Drive B3a,16,Pawmot,Lightning,130,◊◊,,"L Volt Wave: 60 - Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",Fighting,1,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/B3a/B3a_016_EN_SM.webp,https://pocket.limitlesstcg.com/cards/B3a/16,Basic,,,Regular,,false,
